id,away_losses,away_wins,home_losses,home_wins
400975600,33,24,39,18
400975601,28,30,25,30
400975602,25,33,40,19
400975603,24,33,36,23
400975604,26,30,19,40
400975605,16,41,37,20
400975606,39,18,13,44
400975607,26,33,38,18
400975608,33,23,26,31
400975609,41,18,28,30
400975610,14,44,26,32
400975611,26,32,25,32
400975612,34,23,25,36
400975613,41,19,33,25
400975614,36,24,40,18
400975615,24,34,23,34
400975616,25,31,38,20
400975617,26,34,40,18
400975618,27,30,14,45
400975619,19,41,30,28
400975620,42,18,25,34
400975621,33,26,25,34
400975622,25,33,17,41
400975623,26,36,13,45
400975624,23,35,39,18
400975625,29,30,26,32
400975626,25,35,26,33
400975627,27,31,42,18
400975628,26,33,29,30
400975629,41,18,34,24
400975630,41,18,25,32
400975631,40,18,29,31
400975632,19,42,37,24
400975633,27,34,14,46
400975634,39,20,26,37
400975635,26,34,43,18
400975636,42,18,29,31
400975637,34,25,41,18
400975638,31,28,33,27
400975639,26,33,26,33
400975640,25,36,24,35
400975641,26,32,25,35
400975642,13,46,27,33
400975643,34,26,43,18
400975644,41,18,19,43
400975645,40,20,41,20
400975646,14,47,38,24
400975647,32,28,17,42
400975648,44,18,26,34
400975649,42,18,27,35
400975650,26,34,42,19
400975651,13,47,30,31
400975652,26,38,42,18
400975653,41,20,33,28
400975654,42,20,24,36
400975655,27,32,29,32
400975656,25,36,27,33
400975657,43,18,26,35
400975658,27,32,28,33
400975659,28,33,32,29
400975660,17,43,43,18
400975661,27,34,43,19
400975662,34,28,19,44
400975663,14,48,26,36
400975664,44,19,42,18
400975665,27,36,43,19
400975666,26,35,26,36
400975667,13,48,28,32
400975668,34,27,30,32
400975669,27,33,25,36
400975670,43,20,43,19
400975671,27,38,26,36
400975672,33,29,43,19
400975673,35,28,27,34
400975674,14,49,44,19
400975675,17,44,27,36
400975676,44,19,41,21
400975677,28,34,43,18
400975678,27,35,29,33
400975679,27,37,45,19
400975680,28,38,30,32
400975681,39,24,28,33
400975682,44,18,43,20
400975683,28,35,26,36
400975684,34,29,30,33
400975685,20,44,13,49
400975686,34,28,27,36
400975687,28,37,26,37
400975688,30,33,44,19
400975689,46,19,44,20
400975690,36,28,17,45
400975691,27,36,28,36
400975692,26,36,45,19
400975693,28,34,29,34
400975694,44,20,28,34
400975695,40,24,44,20
400975696,35,29,26,37
400975697,30,34,27,37
400975698,47,19,30,34
400975699,20,45,42,21
400975700,45,18,27,37
400975701,44,20,30,34
400975702,26,38,35,28
400975703,28,35,37,28
400975704,45,20,17,46
400975705,31,34,28,37
400975706,13,50,29,37
400975707,29,35,45,20
400975708,41,24,26,39
400975709,45,20,14,50
400975710,26,37,29,34
400975711,30,35,28,37
400975712,17,47,36,29
400975713,46,18,42,22
400975714,13,51,31,34
